Allocation review complete. Report written to `allocation-report.txt`.

**Method** — Per the policy in `docs/architecture/allocation-keys.md`, for each of the 19 manifest stages I took `deployment_ordinal` from its stage doc (`docs/<stage>.md`) and `REGION_OFFSET` from its module (`src/parcel/<module>.py`), computed `ordinal * offset` as the four-digit key, and located the unique allocation record whose filename contains that key, then read its `Disposition` line. Every stage matched exactly one record and all 19 records were used — no order-based pairing was involved.

**Key table:**

| stage | ordinal × offset | key | record | disposition |
|---|---|---|---|---|
| replay | 10 × 101 | 1010 | allocation-1010 | retain |
| **compaction** | 12 × 129 | 1548 | allocation-1548 | **reroute** |
| reconcile | 14 × 157 | 2198 | allocation-2198 | retain |
| envelope | 16 × 117 | 1872 | allocation-1872 | retain |
| checkpoint | 18 × 145 | 2610 | allocation-2610 | retain |
| **rollup** | 20 × 105 | 2100 | allocation-2100 | **reroute** |
| schema | 22 × 133 | 2926 | allocation-2926 | retain |
| retention | 24 × 161 | 3864 | allocation-3864 | retain |
| quota | 26 × 121 | 3146 | allocation-3146 | retain |
| **audit** | 28 × 149 | 4172 | allocation-4172 | **reroute** |
| backfill | 30 × 109 | 3270 | allocation-3270 | retain |
| watermark | 32 × 137 | 4384 | allocation-4384 | retain |
| ingest | 34 × 165 | 5610 | allocation-5610 | retain |
| **cursor** | 36 × 125 | 4500 | allocation-4500 | **reroute** |
| tenancy | 38 × 153 | 5814 | allocation-5814 | retain |
| drain | 40 × 113 | 4520 | allocation-4520 | retain |
| attestation | 42 × 141 | 5922 | allocation-5922 | retain |
| throttle | 44 × 101 | 4444 | allocation-4444 | retain |
| routing | 46 × 129 | 5934 | allocation-5934 | retain |

**Result** — 4 stages are exactly `reroute`: compaction, rollup, audit, cursor. The canonical join formula is `deployment_ordinal * region_offset`, copied verbatim from the policy. No existing files were modified and only the report file was created.
