rid,previous,card,mult,bias,cw,rw
KYYAZV,START,Vgvggsr,17,91,3,5
HKHNEC,NSHEZL,Cvdxhlj,50,279,13,12
RLLQEV,YSVXJA,Mqgttvc,54,420,12,23
YSVXJA,CHHNCE,Xvbxdhd,25,373,18,27
TTBMBV,UMVHRR,Dbwpzgn,33,655,16,26
GGDWXE,RJXHSE,Rdgdqzp,66,142,9,10
NXLUEN,FMZHCU,Jlfvqwc,75,185,8,20
SWXRVM,MXSHLA,Qnwkjdk,70,283,8,21
UMVHRR,QUFGGQ,Mgwwdfb,87,608,5,7
DLMVHN,TTBMBV,Sbjfgqk,62,702,10,22
CHHNCE,HKHNEC,Qqxlsgm,79,326,7,8
VMBXGN,ESKGJA,Ftfqfnl,29,514,17,15
FMZHCU,KYYAZV,Wzxppnq,46,138,14,24
PCTZCK,GGDWXE,Hsdzvmw,95,189,3,6
ESKGJA,RLLQEV,Hxrnkcl,83,467,6,19
QUFGGQ,VMBXGN,Xcwtzsv,58,561,11,11
NSHEZL,NXLUEN,Mxnpstn,21,232,19,16
GAJUEV,DLMVHN,Hhhvlbq,91,749,4,18
MXSHLA,PCTZCK,Shgzblp,41,236,14,25
RJXHSE,GAJUEV,Lrscgfw,37,95,15,14
